p,0,0.2,0.4,0.5,0.6,0.8,1,0,0.2,0.4,0.5,0.6,0.8,1
AT1,0.02,0.02,0.02,0.02,0,0,0,0.78,0.74,0.74,0.78,0.76,0.7,0.18
AT2,1,0.98,1,1,1,1,1,0.88,0.96,0.96,0.92,0.96,0.94,0.92
AT51,0.36,0.16,0.2,0.12,0.14,0.08,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT52,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT53,0.94,0.96,0.98,0.94,0.86,0.88,0.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT54,0.62,0.54,0.58,0.5,0.5,0.22,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT6A,0.4,0.82,0.98,0.96,1,0.98,1,0.36,0.54,0.74,0.86,0.8,0.64,0.58
AT6B,0.34,0.56,0.96,0.92,0.88,0.96,0.88,0.32,0.42,0.46,0.56,0.54,0.44,0.38
AT6C,0.54,0.84,0.88,0.9,0.9,1,0.9,0.32,0.24,0.18,0.18,0.2,0.18,0.06
AT6ABC,0.46,0.82,0.8,0.98,0.9,0.96,0.96,0.32,0.24,0.18,0.18,0.2,0.18,0.06
AFC27,0.52,0.52,0.52,0.48,0.5,0.44,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AFC29,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AFC33,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NN,0.68,0.74,0.72,0.68,0.66,0.72,0.74,0.86,0.82,0.86,0.82,0.9,0.8,0.78
NNX,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9
WT1,0.02,0.04,0.04,0.04,0,0.04,0.02,0.94,0.94,0.9,0.96,0.92,1,0.94
WT2,0.92,0.94,0.92,0.92,0.9,0.86,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WT3,0.82,0.9,0.84,0.9,0.88,0.88,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WT4,0.42,0.56,0.58,0.58,0.52,0.38,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CC1,0.98,0.96,1,1,0.98,1,1,0.06,0.1,0.24,0.26,0.44,0.38,0.26
CC2,0.92,0.96,1,0.96,0.96,0.88,0.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CC3,0.88,0.9,0.9,0.94,0.92,1,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CC4,0,0,0,0.06,0.02,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CC5,0.98,0.96,0.96,0.98,0.96,0.98,0.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCX,0.42,0.72,0.84,0.8,0.8,0.8,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F16,1,0.98,1,1,1,0.96,0.76,0.98,0.98,0.98,0.96,0.94,0.92,0.9
SC,0,0,0,0,0,0,0,0.3,0.24,0.22,0.34,0.42,0.4,0.34
