,max,min,diff,max,min,diff
AT1,0.02,0,0.02,0.78,0.18,0.6
AT2,1,0.98,0.02,0.96,0.88,0.08
AT51,0.36,0.04,0.32,NaN,NaN,NaN
AT52,1,1,0,NaN,NaN,NaN
AT53,0.98,0.84,0.14,NaN,NaN,NaN
AT54,0.62,0.04,0.58,NaN,NaN,NaN
AT6A,1,0.4,0.6,0.86,0.36,0.5
AT6B,0.96,0.34,0.62,0.56,0.32,0.24
AT6C,1,0.54,0.46,0.32,0.06,0.26
AT6ABC,0.98,0.46,0.52,0.32,0.06,0.26
AFC27,0.52,0.38,0.14,NaN,NaN,NaN
AFC29,1,1,0,NaN,NaN,NaN
AFC33,0,0,0,NaN,NaN,NaN
NN,0.74,0.66,0.08,0.9,0.78,0.12
NNX,0,0,0,1,0.9,0.1
WT1,0.04,0,0.04,1,0.9,0.1
WT2,0.94,0.86,0.08,NaN,NaN,NaN
WT3,0.92,0.82,0.1,NaN,NaN,NaN
WT4,0.58,0.38,0.2,NaN,NaN,NaN
CC1,1,0.96,0.04,0.44,0.06,0.38
CC2,1,0.84,0.16,NaN,NaN,NaN
CC3,1,0.88,0.12,NaN,NaN,NaN
CC4,0.06,0,0.06,NaN,NaN,NaN
CC5,0.98,0.84,0.14,NaN,NaN,NaN
CCX,0.84,0.42,0.42,NaN,NaN,NaN
F16,1,0.76,0.24,0.98,0.9,0.08
SC,0,0,0,0.42,0.22,0.2
