,ATheNA_SM,ATheNA_SA,ATheNA_Savg,ATheNA_Sbest,ATheNA_SM,ATheNA_SA,ATheNA_Savg,ATheNA_Sbest
AT1,0.02,0,0.02,0.02,0.78,0.18,0.78,0.78
AT2,1,1,1,1,0.88,0.92,0.92,0.96
AT51,0.36,0.04,0.12,0.36,NaN,NaN,NaN,NaN
AT52,1,1,1,1,NaN,NaN,NaN,NaN
AT53,0.94,0.84,0.94,0.98,NaN,NaN,NaN,NaN
AT54,0.62,0.04,0.5,0.62,NaN,NaN,NaN,NaN
AT6A,0.4,1,0.96,1,0.36,0.58,0.86,0.86
AT6B,0.34,0.88,0.92,0.96,0.32,0.38,0.56,0.56
AT6C,0.54,0.9,0.9,1,0.32,0.06,0.18,0.32
AT6ABC,0.46,0.96,0.98,0.98,0.32,0.06,0.18,0.32
AFC27,0.52,0.38,0.48,0.52,NaN,NaN,NaN,NaN
AFC29,1,1,1,1,NaN,NaN,NaN,NaN
AFC33,0,0,0,0,NaN,NaN,NaN,NaN
NN,0.68,0.74,0.68,0.74,0.86,0.78,0.82,0.9
NNX,0,0,0,0,1,0.9,1,1
WT1,0.02,0.02,0.04,0.04,0.94,0.94,0.96,1
WT2,0.92,0.92,0.92,0.94,NaN,NaN,NaN,NaN
WT3,0.82,0.92,0.9,0.92,NaN,NaN,NaN,NaN
WT4,0.42,0.5,0.58,0.58,NaN,NaN,NaN,NaN
CC1,0.98,1,1,1,0.06,0.26,0.26,0.44
CC2,0.92,0.84,0.96,1,NaN,NaN,NaN,NaN
CC3,0.88,0.92,0.94,1,NaN,NaN,NaN,NaN
CC4,0,0,0.06,0.06,NaN,NaN,NaN,NaN
CC5,0.98,0.84,0.98,0.98,NaN,NaN,NaN,NaN
CCX,0.42,0.62,0.8,0.84,NaN,NaN,NaN,NaN
F16,1,0.76,1,1,0.98,0.9,0.96,0.98
SC,0,0,0,0,0.3,0.34,0.34,0.42
